# t (s)	mx ()	my ()	mz ()
0	0.9669665	0.12527937	0
1.0726043870578764e-11	0.96375847	0.13611728	-0.013381872
2.016775117028588e-11	0.95526063	0.16234094	-0.024556955
3.025854977457864e-11	0.93891096	0.20566553	-0.035606027
4.005047097693702e-11	0.9142072	0.2600873	-0.045167238
5.053186771384717e-11	0.8765526	0.32805002	-0.053917646
6.03534551596042e-11	0.8299148	0.39708304	-0.060749717
7.016165376986843e-11	0.77207553	0.46778113	-0.06656
8.000113451432633e-11	0.7025695	0.5375428	-0.07192363
9.053668974794723e-11	0.6148466	0.60792136	-0.07798405
1.0027830338005175e-10	0.52032316	0.6660092	-0.08477834
1.1062269595058857e-10	0.403906	0.71596944	-0.09423091
1.2021980351160335e-10	0.27954316	0.7457626	-0.105633706
1.3051416155715044e-10	0.12905473	0.7519068	-0.120273255
1.4017346933512946e-10	-0.024314566	0.7267419	-0.1346834
1.5057579355497683e-10	-0.19536614	0.6630839	-0.14878082
1.6029765466114022e-10	-0.35340697	0.5702548	-0.15930834
1.7067855220330646e-10	-0.5109948	0.43845266	-0.16681033
1.8033361347744467e-10	-0.6378354	0.29037756	-0.16909826
1.9064945236515516e-10	-0.7458695	0.11244288	-0.16487339
2.0025713875603448e-10	-0.8168416	-0.06494051	-0.15305549
2.1052628645820642e-10	-0.8523911	-0.25339532	-0.1296564
2.2011357110382298e-10	-0.8392422	-0.40191054	-0.09606832
2.304057059484106e-10	-0.7840488	-0.48889524	-0.051480267
2.4002352218706397e-10	-0.7266706	-0.48591974	-0.0124679
2.5031921426051815e-10	-0.6830237	-0.4135566	0.02031298
2.6059226808661596e-10	-0.6610223	-0.30326945	0.043298863
2.7017494455209097e-10	-0.65579224	-0.19670576	0.056062713
2.8046118653881116e-10	-0.6631267	-0.10467172	0.0628149
2.900655321777109e-10	-0.6860726	-0.04663813	0.06638636
3.0035353746935223e-10	-0.74433535	-0.0084242895	0.06971578
3.1067611906761627e-10	-0.8346293	0.027002279	0.07349871
3.2035056542049025e-10	-0.91429853	0.09031176	0.076698735
3.3004336288666156e-10	-0.9325241	0.18437682	0.07400635
3.4039798481368305e-10	-0.86237437	0.26201046	0.06289225
3.5002361432650683e-10	-0.77188396	0.29005307	0.04957484
3.6033504577871385e-10	-0.70238745	0.30078316	0.03535467
3.7068393028432854e-10	-0.6769452	0.31737897	0.021058194
3.803565451175954e-10	-0.6868742	0.34756345	0.006368217
3.900410536320076e-10	-0.7222059	0.38556904	-0.010342958
4.0039535714030416e-10	-0.780022	0.40797445	-0.030586572
4.106250684743531e-10	-0.84232324	0.38373208	-0.051664155
4.2009866028078827e-10	-0.89029056	0.31567323	-0.068980426
4.302872085571559e-10	-0.9173106	0.2057939	-0.08142881
4.404957352994752e-10	-0.9146057	0.07885265	-0.0844415
4.506764604381189e-10	-0.8925742	-0.03768725	-0.07631686
4.6017719070964357e-10	-0.869633	-0.12688094	-0.060578212
4.703741475181307e-10	-0.85329455	-0.20262569	-0.037418082
4.805808115745178e-10	-0.8563813	-0.2529431	-0.009846896
4.901183294060676e-10	-0.8814598	-0.2654546	0.018724628
5.003556843928848e-10	-0.92048395	-0.22405736	0.04852983
5.10614264443827e-10	-0.9447658	-0.1270161	0.07063462
5.202214417833232e-10	-0.94077444	-0.01027795	0.08155848
5.30548272702354e-10	-0.9167448	0.119779035	0.08298445
5.401954539218599e-10	-0.88396674	0.23484896	0.0755861
5.505205109684166e-10	-0.8491867	0.34146062	0.058911037
5.601450532708134e-10	-0.82929397	0.41585734	0.03619717
5.704528918775827e-10	-0.8299264	0.45867652	0.006718863
5.800776579679828e-10	-0.8514539	0.4563286	-0.021959376
5.903739972441676e-10	-0.8861207	0.40369081	-0.049473107
6.006509903257708e-10	-0.91387564	0.30366486	-0.06924309
6.102400449889965e-10	-0.9225285	0.1850732	-0.076890536
6.205387682618891e-10	-0.9147613	0.056046695	-0.072038636
6.301492142976475e-10	-0.90118223	-0.044558946	-0.0569436
6.404511448191877e-10	-0.8937304	-0.117207065	-0.032990504
6.500937842722026e-10	-0.90157926	-0.14804526	-0.0071083284
6.604232583097585e-10	-0.9264736	-0.13881433	0.020544503
6.700274447911472e-10	-0.95434946	-0.089225784	0.04269165
6.802739862019314e-10	-0.9712168	-3.8649887e-08	0.057890255
6.90487759214363e-10	-0.9657843	0.105318874	0.06143795
7.000090490161197e-10	-0.94602585	0.1982818	0.05497208
7.102133122154505e-10	-0.92180127	0.278915	0.04026839
7.204386593081155e-10	-0.90708053	0.33169973	0.020157252
7.300002788577739e-10	-0.90760744	0.34941065	-0.0016301128
7.402521355113181e-10	-0.9221709	0.3295271	-0.025757678
7.505075894282787e-10	-0.94308376	0.26835257	-0.046928816
7.600739215562479e-10	-0.96078074	0.18048038	-0.060289763
7.703124987707377e-10	-0.9728641	0.069448054	-0.06459032
7.805418182540646e-10	-0.9749835	-0.038578402	-0.05688425
7.900713993370689e-10	-0.9691483	-0.11798641	-0.039364174
8.002751792203109e-10	-0.961179	-0.16445214	-0.012998611
8.104827662773453e-10	-0.9594859	-0.16319162	0.015805876
8.200128445521285e-10	-0.9656509	-0.11897221	0.04003141
8.302222869976059e-10	-0.97474146	-0.03278135	0.05876662
8.404322603624268e-10	-0.97608936	0.078194976	0.06685145
8.506467619098299e-10	-0.9646584	0.19300286	0.06330593
8.601876154169913e-10	-0.94606715	0.2857206	0.050762564
8.704221925122439e-10	-0.92598397	0.35544723	0.030368207
8.806697446556972e-10	-0.91411805	0.38627303	0.0064243926
8.902459396863677e-10	-0.9156374	0.37813142	-0.01590062
9.005202583753e-10	-0.93010783	0.33264107	-0.03634719
9.101208174496046e-10	-0.9484531	0.26186734	-0.049429946
9.204177812304364e-10	-0.9641125	0.16795513	-0.05494961
9.300370822820174e-10	-0.9705793	0.07828883	-0.051664032
9.403448696951821e-10	-0.97062576	-0.0037118602	-0.03998003
9.506493543513162e-10	-0.96856284	-0.05781217	-0.022061799
9.602630717078177e-10	-0.96934795	-0.076205574	-0.002635892
9.70558201877415e-10	-0.9756205	-0.06037307	0.017602734
9.801528220723731e-10	-0.98363644	-0.016290847	0.03284904
9.904163554941223e-10	-0.98809683	0.053102635	0.042356376
1e-09	-0.9846121	0.1260425	0.043269813
