# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)
0	3.5543545e-07	0.1379969	0	-0
1.0332097009551095e-11	0.010290278	0.13802128	0.001104413	-0
2.020494822175307e-11	0.013258341	0.13810441	0.0019046305	3e-09
3.023803273096612e-11	0.009453979	0.13825843	0.0024671124	9e-09
4.013849823193965e-11	0.014027004	0.13845608	0.0028032607	1.2e-08
5.0046284249830974e-11	0.011625096	0.1387479	0.0029567452	1.8e-08
6.007370043476265e-11	0.009210459	0.13901132	0.0029564085	2.4e-08
7.028200130075422e-11	0.014584137	0.13926364	0.002815522	2.7e-08
8.024226958477117e-11	0.011721954	0.13960336	0.0025563526	3.3e-08
9.005133080338491e-11	0.008516365	0.1400972	0.0021949953	3.9e-08
1.0023609979643504e-10	0.013406398	0.14086503	0.0017200381	4.2e-08
1.1024559673399117e-10	0.0099080475	0.14198506	0.0011794018	4.8e-08
1.202028332564121e-10	0.013824523	0.14354932	0.0005900553	5.1e-08
1.3026937940998829e-10	0.009569071	0.14567865	-3.3846452e-05	5.7e-08
1.4014752530946632e-10	0.012481355	0.14834955	-0.0006528137	6e-08
1.5008697852330963e-10	0.01494144	0.15161993	-0.0012416865	6.3e-08
1.602580022930687e-10	0.009208016	0.15542018	-0.0017297512	6.9e-08
1.700433018734301e-10	0.010409771	0.15917578	-0.0020057347	7.2e-08
1.8026524475230382e-10	0.011543372	0.16270494	-0.0020302103	7.5e-08
1.9017891567281766e-10	0.012155412	0.16514377	-0.0017659282	7.8e-08
2.0011972280067838e-10	0.012840487	0.16600156	-0.0012466141	8.1e-08
2.1006587365633904e-10	0.013885468	0.16480364	-0.0005773758	8.4e-08
2.2016813750203228e-10	0.015693083	0.1613426	0.00012067212	8.7e-08
2.3020699031671645e-10	0.010358338	0.15586476	0.0007044855	9.3e-08
2.4012676278862604e-10	0.013496062	0.14893678	0.001066231	9.6e-08
2.5009622710064536e-10	0.0092863105	0.14128153	0.0011071501	1.02e-07
2.60103671323037e-10	0.012923209	0.13408248	0.00094561744	1.05e-07
2.70079806231623e-10	0.00829967	0.12859185	0.0012884839	1.11e-07
2.800422700152866e-10	0.01150841	0.1252651	0.0027667312	1.14e-07
2.900145453194987e-10	0.015314248	0.12408038	0.005071595	1.17e-07
3.000682922109562e-10	0.012349551	0.12500699	0.0075947274	1.23e-07
3.102253161937735e-10	0.010893268	0.1280089	0.009929511	1.29e-07
3.200629017805157e-10	0.010691769	0.13231222	0.011717312	1.35e-07
3.3012133382269223e-10	0.012882084	0.13686526	0.012950184	1.41e-07
3.4011398565933584e-10	0.009157253	0.14033353	0.01366686	1.5e-07
3.5023988521271045e-10	0.0151878875	0.14220417	0.013919367	1.56e-07
3.602844889857888e-10	0.0140746785	0.14230007	0.013726629	1.65e-07
3.70292305482637e-10	0.01314438	0.14070494	0.013285639	1.74e-07
3.8030564672168617e-10	0.01279099	0.13755153	0.012880326	1.83e-07
3.901924427200946e-10	0.011743709	0.13328604	0.012762048	1.92e-07
4.000399743311136e-10	0.009302407	0.12832162	0.012903793	2.01e-07
4.1030674559084196e-10	0.014776478	0.123031534	0.012974336	2.07e-07
4.2018334323961986e-10	0.01162026	0.11894641	0.012836748	2.16e-07
4.303070855317455e-10	0.008552131	0.1164444	0.0124816485	2.25e-07
4.4021240340348893e-10	0.012087104	0.115766145	0.012000121	2.31e-07
4.5015935356357486e-10	0.008131597	0.116566986	0.01159341	2.4e-07
4.6007167215226713e-10	0.012599364	0.11829443	0.011498417	2.46e-07
4.703150496805756e-10	0.010267645	0.12006486	0.01161729	2.55e-07
4.803121487043119e-10	0.015407645	0.121377386	0.011746284	2.61e-07
4.90253478134146e-10	0.012994133	0.12251522	0.012014841	2.7e-07
5e-10	0.010632026	0.12303849	0.012555956	2.79e-07
