# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	8.940697e-08	-3.608293e-06	-0.017184036	0	0	0
0	0.024703354	-1.8171268e-06	-0.01718645	0.001	0	0
0	0.049426734	-9.699143e-07	-0.017193727	0.002	0	0
0	0.07402544	-5.051261e-07	-0.017205626	0.003	0	0
0	0.09856829	-2.2881432e-07	-0.01722372	0.004	0	0
0	0.12298302	-8.2247425e-08	-0.01724708	0.005	0	0
0	0.14715943	-6.2282197e-09	-0.01727773	0.006	0	0
0	0.17118892	2.415618e-08	-0.01731607	0.007	0	0
0	0.1949476	3.2945536e-08	-0.017363284	0.008	0	0
0	0.21841341	3.5681296e-08	-0.017420838	0.009	0	0
0	0.24162562	3.7660357e-08	-0.017491106	0.01	0	0
0	0.26450622	3.3003744e-08	-0.01757489	0.011	0	0
0	0.28709912	2.8987415e-08	-0.017676463	0.012	0	0
0	0.30946177	3.0209776e-08	-0.017798409	0.013	0	0
0	0.3317233	3.5681296e-08	-0.017946273	0.014	0	0
0	0.35400444	3.8649887e-08	-0.018127533	0.015	0	0
0	0.3769362	3.8009603e-08	-0.018358344	0.016	0	0
0	0.4014486	4.202593e-08	-0.018670168	0.017	0	0
0	0.43311846	4.2491592e-08	-0.019223198	0.018	0	0
0	0.9702908	3.0122465e-08	-3.667133e-16	0.019	0	0
0	0.97078234	3.0107913e-08	1.6486292e-21	0.02	0	0
0	0.9712678	3.025343e-08	-1.5508108e-27	0.021	0	0
0	0.9717476	2.9118382e-08	2.7429718e-34	0.022	0	0
0	0.97222173	2.7823262e-08	8.224047e-39	0.023	0	0
0	0.97269017	2.552406e-08	-1e-44	0.024	0	0
0	0.9731531	2.81143e-08	-1e-44	0.025	0	0
0	0.9736109	3.0486262e-08	-7e-45	0.026	0	0
0	0.9740634	2.8914656e-08	-1e-44	0.027	0	0
0	0.97451127	2.9380317e-08	-8e-45	0.028	0	0
0	0.9749539	3.0187948e-08	-7e-45	0.029	0	0
0	0.9753921	3.3069227e-08	-8e-45	0.03	0	0
0	0.9758255	2.8136128e-08	-8e-45	0.031	0	0
0	0.97625446	2.6971975e-08	-1e-44	0.032	0	0
0	0.9766791	2.9300281e-08	-8e-45	0.033	0	0
0	0.9770995	2.9678631e-08	-8e-45	0.034	0	0
0	0.9775156	2.9456714e-08	-8e-45	0.035	0	0
0	0.97792774	3.2419848e-08	-7e-45	0.036	0	0
0	0.97833616	3.1076524e-08	-8e-45	0.037	0	0
0	0.9787407	3.164314e-08	-8e-45	0.038	0	0
0	0.97914135	2.9940566e-08	-6e-45	0.039	0	0
0	0.9795387	3.17159e-08	-4e-45	0.04	0	0
0	0.9799324	3.1061063e-08	4e-45	0.041	0	0
0	0.980323	3.054447e-08	6e-45	0.042	0	0
0	0.98071027	3.093737e-08	-4e-45	0.043	0	0
0	0.98109436	2.8609065e-08	-6e-45	0.044	0	0
0	0.98147535	2.7968781e-08	4e-45	0.045	0	0
0	0.98185337	3.2465323e-08	7e-45	0.046	0	0
0	0.9822287	2.8754584e-08	3e-45	0.047	0	0
0	0.9826013	3.1417585e-08	4e-45	0.048	0	0
0	0.9829712	2.994784e-08	4e-45	0.049	0	0
0	0.98333883	3.0820956e-08	4e-45	0.05	0	0
0	0.9837036	3.0675437e-08	-6e-45	0.051	0	0
0	0.98406684	3.2479875e-08	-6e-45	0.052	0	0
0	0.98442745	3.1286618e-08	-4e-45	0.053	0	0
0	0.98478615	3.335299e-08	-8e-45	0.054	0	0
0	0.98514247	2.9831426e-08	-4e-45	0.055	0	0
0	0.9854976	3.4924597e-08	-4e-45	0.056	0	0
0	0.98585093	3.274181e-08	-4e-45	0.057	0	0
0	0.9862025	3.699097e-08	-3e-45	0.058	0	0
0	0.98655266	3.442983e-08	-4e-45	0.059	0	0
0	0.9869018	3.4167897e-08	-3e-45	0.06	0	0
0	0.9872498	3.981404e-08	-3e-45	0.061	0	0
0	0.98759645	3.943569e-08	3e-45	0.062	0	0
0	0.9879428	3.7092832e-08	-3e-45	0.063	0	0
0	0.9882885	4.06435e-08	-3e-45	0.064	0	0
0	0.988634	4.0177838e-08	3e-45	0.065	0	0
0	0.98897886	4.3728505e-08	3e-45	0.066	0	0
